slug,date_first,date_last,date_certainty,who,attendee_class,city,state,venue,geocode_method,arrival_airport,arrival_airport_name,arrival_selection_basis,arrival_dist_from_city_mi,est_arrival_local,est_departure_local,est_confidence,kirk_side_observed_on_adsb,airports_within_radius,jet_capable,light_jet_capable,no_scheduled_service,su_found_in_radius,adsb_ground_contacts,adsb_ground_contacts_su,flights_csv_stays,flights_csv_stays_su,claimed_overlaps,su_just_outside_radius,su_just_outside_tails,archive_control_verdict,aircraft_days_needed,aircraft_days_held,coverage_pct_all_tails,coverage_pct_following_fleet,queried_pct_following_fleet,following_days_never_asked,yaml
20230309_chicago,2023-03-09,2023-03-09,EVENT_DATE,Charlie,CHARLIE_ONLY,Chicago,IL,University of Illinois Chicago,us_census_2024_gazetteer,KORD,Chicago O'Hare International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,14.9,2023-03-09 16:00,2023-03-09 23:00,low,0,50,8,1,47,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,9,10.6,3.3,100.0,0,site/docs/Planes/following/speaking/20230309_chicago.yaml
20230314_davis,2023-03-14,2023-03-14,EVENT_DATE,Charlie,CHARLIE_ONLY,Davis,CA,"University of California, Davis",us_census_2024_gazetteer,KSMF,Sacramento International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,12.5,2023-03-14 16:00,2023-03-14 23:00,low,0,69,9,5,68,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,17,20.0,13.3,100.0,0,site/docs/Planes/following/speaking/20230314_davis.yaml
20230321_baton_rouge,2023-03-21,2023-03-21,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,Baton Rouge,LA,Louisiana State University,us_census_2024_gazetteer,KBTR,Baton Rouge Metropolitan Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,6.5,2023-03-21 16:00,2023-03-21 23:00,low,0,39,3,0,38,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,10,11.8,0.0,100.0,0,site/docs/Planes/following/speaking/20230321_baton_rouge.yaml
20230321_new_brunswick,2023-03-21,2023-03-21,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,New Brunswick,NJ,Rutgers University,us_census_2024_gazetteer,KEWR,Newark Liberty International Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,20.1,2023-03-21 16:00,2023-03-21 23:00,low,0,33,8,3,28,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,10,11.8,0.0,100.0,0,site/docs/Planes/following/speaking/20230321_new_brunswick.yaml
20230322_columbus,2023-03-22,2023-03-22,EVENT_DATE,Charlie,CHARLIE_ONLY,Columbus,OH,Ohio State University,us_census_2024_gazetteer,KCMH,John Glenn Columbus International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,5.0,2023-03-22 16:00,2023-03-22 23:00,low,0,57,8,4,55,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,12,14.1,0.0,100.0,0,site/docs/Planes/following/speaking/20230322_columbus.yaml
20230327_fort_worth,2023-03-27,2023-03-27,EVENT_DATE,Charlie,CHARLIE_ONLY,Fort Worth,TX,Texas Christian University,us_census_2024_gazetteer,KFTW,Fort Worth Meacham International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,2.7,2023-03-27 16:00,2023-03-27 23:00,low,0,141,15,3,138,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,14,16.5,13.3,100.0,0,site/docs/Planes/following/speaking/20230327_fort_worth.yaml
20230402_jefferson_city,2023-04-02,2023-04-02,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,Jefferson City,MO,"Jefferson City, Missouri (TPUSA Faith / Sean Feucht)",ourairports_municipality_centroid,KJEF,Jefferson City Memorial Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,,2023-04-02 16:00,2023-04-02 23:00,low,0,27,3,3,26,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,85,17,20.0,6.7,100.0,0,site/docs/Planes/following/speaking/20230402_jefferson_city.yaml
20230423_topeka,2023-04-23,2023-04-23,EVENT_DATE,TPUSA,TPUSA_NO_KIRK,Topeka,KS,"Topeka, Kansas (TPUSA Faith)",us_census_2024_gazetteer,KFOE,Topeka Regional Airport,CURATED_tpusa_events.csv_VALUE_KEPT_computed_nearest_jet_field_DIFFERS,6.0,2023-04-23 16:00,2023-04-23 23:00,low,0,49,3,1,49,no,0,0,0,0,1,0,,ARCHIVE HEALTHY,85,16,18.8,3.3,100.0,0,site/docs/Planes/following/speaking/20230423_topeka.yaml
20230500_nashville,2023-05-01,2023-05-31,EVENT_DATE,Charlie,CHARLIE_ONLY,Nashville,TN,"Nashville, Tennessee (venue not named in ChurchLeaders recap)",ourairports_municipality_centroid,KBNA,Nashville International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,6.9,2023-05-01 16:00,2023-05-31 23:00,low,0,42,7,1,41,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,595,89,15.0,6.7,100.0,0,site/docs/Planes/following/speaking/20230500_nashville.yaml
20230500_tallahassee,2023-05-01,2023-05-31,EVENT_DATE,Charlie,CHARLIE_ONLY,Tallahassee,FL,Florida State University,us_census_2024_gazetteer,KTLH,Tallahassee International Airport,CURATED_CSV_AND_COMPUTED_NEAREST_JET_FIELD_AGREE,7.1,2023-05-01 16:00,2023-05-31 23:00,low,0,18,1,1,17,no,0,0,0,0,0,0,,ARCHIVE HEALTHY,595,89,15.0,6.7,100.0,0,site/docs/Planes/following/speaking/20230500_tallahassee.yaml
