tail,date,source,dbFlags,flags,ownOp,registration,file
N582MM,2025-09-13,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-13_airplanes-live_trace_full.json
N582MM,2025-09-14,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-14_adsb-lol_trace_full.json
N582MM,2025-09-14,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-14_airplanes-live_trace_full.json
N582MM,2025-09-15,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-15_adsb-lol_trace_full.json
N582MM,2025-09-15,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-15_airplanes-live_trace_full.json
N582MM,2025-09-16,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-16_adsb-lol_trace_full.json
N582MM,2025-09-16,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-16_airplanes-live_trace_full.json
N582MM,2025-09-17,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-17_adsb-lol_trace_full.json.gz
N582MM,2025-09-17,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-17_airplanes-live_trace_full.json.gz
N582MM,2025-09-18,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-18_adsb-lol_trace_full.json.gz
N582MM,2025-09-18,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-18_airplanes-live_trace_full.json.gz
N582MM,2025-09-19,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-19_adsb-lol_trace_full.json.gz
N582MM,2025-09-19,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-19_airplanes-live_trace_full.json.gz
N582MM,2025-09-20,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-20_adsb-lol_trace_full.json.gz
N582MM,2025-09-20,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-20_airplanes-live_trace_full.json.gz
N582MM,2025-09-21,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-21_adsb-lol_trace_full.json.gz
N582MM,2025-09-21,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-21_airplanes-live_trace_full.json.gz
N582MM,2025-09-22,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-22_adsb-lol_trace_full.json.gz
N582MM,2025-09-22,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-22_airplanes-live_trace_full.json.gz
N582MM,2025-09-26,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-26_adsb-lol_trace_full.json.gz
N582MM,2025-09-26,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-26_airplanes-live_trace_full.json.gz
N582MM,2025-09-27,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-27_adsb-lol_trace_full.json.gz
N582MM,2025-09-27,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-27_airplanes-live_trace_full.json.gz
N582MM,2025-09-28,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-09-28_adsb-lol_trace_full.json.gz
N582MM,2025-09-28,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-09-28_airplanes-live_trace_full.json.gz
N582MM,2025-10-01,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-10-01_adsb-lol_trace_full.json.gz
N582MM,2025-10-01,adsbexchange-samples,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-10-01_adsbexchange-samples_trace_full.json
N582MM,2025-10-01,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-10-01_airplanes-live_trace_full.json.gz
N582MM,2025-10-03,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-10-03_airplanes-live_trace_full.json.gz
N582MM,2025-10-04,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-10-04_adsb-lol_trace_full.json.gz
N582MM,2025-10-04,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-10-04_airplanes-live_trace_full.json.gz
N582MM,2025-10-05,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-10-05_adsb-lol_trace_full.json.gz
N582MM,2025-10-05,airplanes-live,0,none,DOJA CONTRACTING LLC,N582MM,N582MM_2025-10-05_airplanes-live_trace_full.json.gz
N582MM,2025-10-06,adsb-lol,0,none,"DOJA CONTRACTING LLC, TK ENTERPRISES LLC, JRO AVIATION LLC",N582MM,N582MM_2025-10-06_adsb-lol_trace_full.json.gz
