adelson_tail,tel_aviv_first_heard_utc,previous_field,previous_country,previous_last_heard_utc,hours_previous_to_tel_aviv,kirk_side_jets_at_previous_field_6h
N338LS,2026-07-29T14:04:02.780000+00:00,LLBG,IL,2026-07-29T11:02:41.530000+00:00,3.0,
N338LS,2026-08-06T04:48:05.480000+00:00,LCLK,CY,2026-07-29T14:52:32.260000+00:00,181.9,
N338LS,2026-08-06T08:45:48.700000+00:00,LLBG,IL,2026-08-06T04:54:33.170000+00:00,3.9,
N338LS,2026-08-11T04:40:04.360000+00:00,LGMK,GR,2026-08-11T03:15:48.120000+00:00,1.4,
N338LS,2026-08-19T03:55:59.780000+00:00,LLBG,IL,2026-08-11T06:03:01.440000+00:00,189.9,
N338LS,2026-08-21T20:57:50.830000+00:00,EGKB,GB,2026-08-21T16:37:35.400000+00:00,4.3,
N339LS,2023-03-26T10:24:17.730000+00:00,KLAX,US,2023-03-17T02:10:26.600000+00:00,224.2,
N339LS,2023-03-29T19:21:43.300000+00:00,LLBG,IL,2023-03-26T11:09:26.720000+00:00,80.2,
N339LS,2023-05-08T10:52:59.840000+00:00,KLAX,US,2023-05-02T21:27:40.030000+00:00,133.4,
N339LS,2023-05-09T07:14:49.650000+00:00,LLBG,IL,2023-05-08T10:59:53.790000+00:00,20.2,
N339LS,2023-05-15T12:37:41.720000+00:00,LEMD,ES,2023-05-11T15:59:47.440000+00:00,92.6,
N339LS,2023-05-17T02:16:53.780000+00:00,LLBG,IL,2023-05-15T12:44:31.470000+00:00,37.5,
N339LS,2023-05-23T12:02:13.740000+00:00,KBOS,US,2023-05-23T02:19:17.850000+00:00,9.7,
N339LS,2023-05-24T21:49:34.830000+00:00,LLBG,IL,2023-05-23T12:08:56.890000+00:00,33.7,
N339LS,2023-05-27T13:06:34.910000+00:00,LLBG,IL,2023-05-24T21:59:30.600000+00:00,63.1,
N339LS,2023-05-28T10:14:53.550000+00:00,LLBG,IL,2023-05-27T13:12:29.180000+00:00,21.0,
