slug,date,group,attendee_class,city,state,airport,su_in_radius,su_just_outside,su_just_outside_tails,cov_following_pct,ac_days_needed,ac_days_held,control_verdict
20240614_detroit,2024-06-14,CHARLIE_ONLY,CHARLIE_ONLY,Detroit,MI,KDTW,no,0,,2.4,105,16,ARCHIVE HEALTHY
20240724_west_palm_beach,2024-07-24,CHARLIE_ONLY,CHARLIE_ONLY,West Palm Beach,FL,KPBI,no,0,,21.4,105,22,ARCHIVE HEALTHY
20240726_west_palm_beach,2024-07-26,CHARLIE_ONLY,CHARLIE_ONLY,West Palm Beach,FL,KPBI,no,0,,19.0,105,22,ARCHIVE HEALTHY
20240903_phoenix,2024-09-03,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,3.3,75,14,ARCHIVE HEALTHY
20240905_madison,2024-09-05,CHARLIE_ONLY,CHARLIE_ONLY,Madison,WI,KMSN,no,0,,6.7,75,16,ARCHIVE HEALTHY
20240910_boulder,2024-09-10,CHARLIE_ONLY,CHARLIE_ONLY,Boulder,CO,KBJC,no,0,,6.7,75,13,ARCHIVE HEALTHY
20240911_denton,2024-09-11,CHARLIE_ONLY,CHARLIE_ONLY,Denton,TX,KDTO,no,0,,3.3,75,12,ARCHIVE HEALTHY
20240913_manhattan,2024-09-13,CHARLIE_ONLY,CHARLIE_ONLY,Manhattan,KS,KMHK,no,0,,0.0,75,15,ARCHIVE HEALTHY
20240918_pittsburgh,2024-09-18,CHARLIE_ONLY,CHARLIE_ONLY,Pittsburgh,PA,KPIT,no,0,,13.3,75,20,ARCHIVE HEALTHY
20240919_university_park,2024-09-19,CHARLIE_ONLY,CHARLIE_ONLY,University Park,PA,KUNV,no,0,,16.7,75,22,ARCHIVE HEALTHY
20240930_missoula,2024-09-30,CHARLIE_ONLY,CHARLIE_ONLY,Missoula,MT,KMSO,no,0,,10.0,75,22,ARCHIVE HEALTHY
20241011_corvallis,2024-10-11,CHARLIE_ONLY,CHARLIE_ONLY,Corvallis,OR,KCVO,no,0,,6.7,75,14,ARCHIVE HEALTHY
20241015_university_of_nevada,2024-10-15,CHARLIE_ONLY,CHARLIE_ONLY,AMBIGUOUS,NV,,no,0,,0,0,0,
20241015_flagstaff,2024-10-15,CHARLIE_ONLY,CHARLIE_ONLY,Flagstaff,AZ,KFLG,no,0,,16.7,75,19,ARCHIVE HEALTHY
20241016_tucson,2024-10-16,CHARLIE_ONLY,CHARLIE_ONLY,Tucson,AZ,KTUS,no,0,,13.3,75,19,ARCHIVE HEALTHY
20241021_chapel_hill,2024-10-21,CHARLIE_ONLY,CHARLIE_ONLY,Chapel Hill,NC,KRDU,no,0,,20.0,75,24,ARCHIVE HEALTHY
20241021_atlanta,2024-10-21,CHARLIE_ONLY,CHARLIE_ONLY,Atlanta,GA,KATL,no,0,,20.0,75,24,ARCHIVE HEALTHY
20241022_omaha,2024-10-22,CHARLIE_ONLY,CHARLIE_ONLY,Omaha,NE,KOMA,no,0,,16.7,75,23,ARCHIVE HEALTHY
20241022_athens,2024-10-22,CHARLIE_ONLY,CHARLIE_ONLY,Athens,GA,KAHN,no,0,,16.7,75,23,ARCHIVE HEALTHY
20241023_duluth,2024-10-23,CHARLIE_ONLY,CHARLIE_ONLY,Duluth,GA,KPDK,no,0,,10.0,75,19,ARCHIVE HEALTHY
20241024_las_vegas,2024-10-24,CHARLIE_ONLY,CHARLIE_ONLY,Las Vegas,NV,KLAS,no,0,,10.0,75,17,ARCHIVE HEALTHY
20241028_phoenix,2024-10-28,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,6.7,75,14,ARCHIVE HEALTHY
20241030_greenville,2024-10-30,CHARLIE_ONLY,CHARLIE_ONLY,Greenville,NC,KPGV,no,0,,0.0,75,19,ARCHIVE HEALTHY
20241031_high_point,2024-10-31,CHARLIE_ONLY,CHARLIE_ONLY,High Point,NC,KGSO,no,0,,0.0,75,19,ARCHIVE HEALTHY
20241219_phoenix,2024-12-19,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,12.5,120,24,ARCHIVE HEALTHY
20250119_washington,2025-01-19,CHARLIE_ONLY,CHARLIE_ONLY,Washington,DC,KDCA,no,0,,11.1,90,12,ARCHIVE HEALTHY
20250218_phoenix,2025-02-18,CHARLIE_ONLY,CHARLIE_ONLY,Phoenix,AZ,KPHX,no,0,,8.3,90,22,ARCHIVE HEALTHY
20250220_tampa,2025-02-20,CHARLIE_ONLY,CHARLIE_ONLY,Tampa,FL,KTPA,no,0,,6.7,75,17,ARCHIVE HEALTHY
20250227_gainesville,2025-02-27,CHARLIE_ONLY,CHARLIE_ONLY,Gainesville,FL,KGNV,no,0,,3.3,75,18,ARCHIVE HEALTHY
20250228_tallahassee,2025-02-28,CHARLIE_ONLY,CHARLIE_ONLY,Tallahassee,FL,KTLH,no,0,,0.0,75,19,ARCHIVE HEALTHY
20250303_los_angeles,2025-03-03,CHARLIE_ONLY,CHARLIE_ONLY,Los Angeles,CA,KLAX,no,0,,0.0,75,17,ARCHIVE HEALTHY
20250313_knoxville,2025-03-13,CHARLIE_ONLY,CHARLIE_ONLY,Knoxville,TN,KTYS,no,0,,0.0,75,14,ARCHIVE HEALTHY
20250318_gainesville,2025-03-18,CHARLIE_ONLY,CHARLIE_ONLY,Gainesville,GA,KGVL,no,0,,9.5,105,24,ARCHIVE HEALTHY
20250408_urbana,2025-04-08,CHARLIE_ONLY,CHARLIE_ONLY,Urbana,IL,KCMI,no,0,,23.3,75,24,ARCHIVE HEALTHY
20250408_normal,2025-04-08,CHARLIE_ONLY,CHARLIE_ONLY,Normal,IL,KBMI,no,0,,23.3,75,24,ARCHIVE HEALTHY
20250410_west_lafayette,2025-04-10,CHARLIE_ONLY,CHARLIE_ONLY,West Lafayette,IN,KLAF,no,0,,16.7,75,20,ARCHIVE HEALTHY
20250411_east_lansing,2025-04-11,CHARLIE_ONLY,CHARLIE_ONLY,East Lansing,MI,KLAN,no,0,,6.7,75,18,ARCHIVE HEALTHY
20250422_college_station,2025-04-22,CHARLIE_ONLY,CHARLIE_ONLY,College Station,TX,KCLL,no,0,,6.7,75,13,ARCHIVE HEALTHY
20250424_laramie,2025-04-24,CHARLIE_ONLY,CHARLIE_ONLY,Laramie,WY,KLAR,no,0,,10.0,75,17,ARCHIVE HEALTHY
20250429_tpusa_student_town_h,2025-04-29,CHARLIE_ONLY,CHARLIE_ONLY,UNKNOWN,,,no,0,,0,0,0,
20250501_san_diego,2025-05-01,CHARLIE_ONLY,CHARLIE_ONLY,San Diego,CA,KSAN,no,0,,13.3,75,23,ARCHIVE HEALTHY
20250506_san_francisco,2025-05-06,CHARLIE_ONLY,CHARLIE_ONLY,San Francisco,CA,KSFO,no,0,,3.3,75,21,ARCHIVE HEALTHY
20250613_grapevine,2025-06-13,CHARLIE_AND_ERIKA,CHARLIE_AND_ERIKA,Grapevine,TX,KDFW,no,0,,14.3,105,25,ARCHIVE HEALTHY
20250709_tampa,2025-07-09,CHARLIE_ONLY,CHARLIE_ONLY,Tampa,FL,KTPA,no,0,,14.3,105,21,ARCHIVE HEALTHY
20250710_tampa,2025-07-10,CHARLIE_ONLY,CHARLIE_ONLY,Tampa,FL,KTPA,no,0,,14.6,120,22,ARCHIVE HEALTHY
20250711_tampa,2025-07-11,CHARLIE_ONLY,CHARLIE_ONLY,Tampa,FL,KTPA,no,0,,14.3,105,19,ARCHIVE HEALTHY
20250806_rancho_palos_verdes,2025-08-06,CHARLIE_ONLY,CHARLIE_ONLY,Rancho Palos Verdes,CA,KTOA,no,0,,9.5,105,20,ARCHIVE HEALTHY
20250820_dallas,2025-08-20,CHARLIE_ONLY,CHARLIE_ONLY,Dallas,TX,KDAL,no,0,,9.5,105,16,ARCHIVE HEALTHY
20250821_north_myrtle_beach,2025-08-21,CHARLIE_ONLY,CHARLIE_ONLY,North Myrtle Beach,SC,KCRE,no,0,,10.0,75,12,ARCHIVE HEALTHY
20250905_seoul,2025-09-05,CHARLIE_ONLY,CHARLIE_ONLY,Seoul,,RKSI,no,0,,27.8,90,40,ARCHIVE HEALTHY
20250907_tokyo,2025-09-07,CHARLIE_ONLY,CHARLIE_ONLY,Tokyo,,RJTT,no,0,,23.3,75,33,ARCHIVE HEALTHY
20250910_orem,2025-09-10,CHARLIE_ONLY,CHARLIE_ONLY,Orem,UT,KPVU,yes,0,,20.0,75,36,ARCHIVE HEALTHY
20250911_woodland_park,2025-09-11,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Woodland Park,CO,KCOS,no,0,,20.0,75,35,ARCHIVE HEALTHY
20250918_fort_collins,2025-09-18,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Fort Collins,CO,KFNL,no,0,,10.0,75,17,ARCHIVE HEALTHY
20250919_murfreesboro,2025-09-19,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Murfreesboro,TN,KMBT,no,0,,13.9,90,21,ARCHIVE HEALTHY
20250921_glendale,2025-09-21,ERIKA_ONLY,ERIKA_ONLY,Glendale,AZ,KGEU,no,0,,30.0,75,23,ARCHIVE HEALTHY
20250922_minneapolis,2025-09-22,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Minneapolis,MN,KMSP,no,0,,40.0,75,24,ARCHIVE HEALTHY
20250924_blacksburg,2025-09-24,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Blacksburg,VA,KBCB,no,0,,23.3,75,17,ARCHIVE HEALTHY
20250925_hanover,2025-09-25,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Hanover,NH,KLEB,no,0,,26.7,75,16,ARCHIVE HEALTHY
20250930_logan,2025-09-30,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Logan,UT,KLGU,no,0,,16.7,75,13,ARCHIVE HEALTHY
20251007_bozeman,2025-10-07,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Bozeman,MT,KBZN,no,0,,10.0,75,19,ARCHIVE HEALTHY
20251009_grand_forks,2025-10-09,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Grand Forks,ND,KGFK,no,0,,16.7,75,22,ARCHIVE HEALTHY
20251016_norman,2025-10-16,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Norman,OK,KOUN,no,0,,30.0,75,28,ARCHIVE HEALTHY
20251021_bloomington,2025-10-21,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Bloomington,IN,KBMG,no,0,,26.7,75,23,ARCHIVE HEALTHY
20251027_baton_rouge,2025-10-27,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Baton Rouge,LA,KBTR,no,0,,20.0,75,22,ARCHIVE HEALTHY
20251029_oxford,2025-10-29,TPUSA_NO_KIRK_POSTDEATH,TPUSA_NO_KIRK,Oxford,MS,KUOX,no,0,,13.3,75,21,ARCHIVE HEALTHY
