docket_title	substack_file_url
Approved Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/b2d2495e-5f44-4b4c-b2e2-8d3b2b61e786.pdf
Not Signed Order (Proposed) Granting Motion to Order Transcript and Classify, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/1baa2009-69b5-4c72-8509-60b97659fa37.pdf
Return of Electronic Notification, 11-15-25 (Not obtained)	
Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/f0b798d0-7cfc-427b-ac43-1d5a6afb6a89.pdf
(Omitted from docket - no item #182)	
(Omitted from docket - no item #183)	
Return of Electronic Notification, 11-18-25 (Not obtained)	
Defendant Tyler James Robinson’s Response to Proposed Media Intervenors Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	https://andreaburkhart.substack.com/api/v1/file/9119f8b7-99de-4ca3-acbc-5379ed75affe.pdf
Return of Electronic Notification, 11-19-25 (Not obtained)	
State’s Response to Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	https://andreaburkhart.substack.com/api/v1/file/4c1f4a1f-a77a-4deb-8e4c-5f92a3a3f48e.pdf
Notice for Case 251403576, 11-20-25	https://andreaburkhart.substack.com/api/v1/file/395e8c78-185e-4e82-a706-727b27e9d0d8.pdf
Objection to State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order, 11-20-25	https://andreaburkhart.substack.com/api/v1/file/44c5e7eb-398e-440a-adea-61c6c1fb748a.pdf
Return of Electronic Notification, 11-20-25 (Not obtained)	
Return of Electronic Notification, 11-21-25 (Not obtained)	
Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/37465370-77b3-439f-bf91-e81f7fcc7df3.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/e2721a6c-2610-4e95-89ee-79b769a309a7.pdf
Order to Transport, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/81a49c78-ef38-4e56-be76-42cc597612c2.pdf
Return of Electronic Notification, 11-22-25 (Not obtained)	
Motion for Limited Intervention, 11-24-25	https://andreaburkhart.substack.com/api/v1/file/9479186a-47db-4d10-b135-a4e9dd1d3192.pdf
Reply in Support of Motion for Limited Intervention (Proposed Media Intervenors), 11-26-25	https://andreaburkhart.substack.com/api/v1/file/59f92197-6e7a-446d-ae98-8432b19b2b9f.pdf
Return of Electronic Notification, 11-26-25 (Not obtained)	
(Omitted from docket - no item #201)	
(Previously omitted) Letter From Supreme Court Of Utah, 11-17-25	https://andreaburkhart.substack.com/api/v1/file/e7bd7842-8138-4273-bcad-be29afa0370d.pdf
Request/Notice to Submit State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-28-25 (Not obtained)	
Reply Supporting State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-28-25	https://andreaburkhart.substack.com/api/v1/file/0772be98-2e34-49ac-b054-45ddd0b69713.pdf
Return of Electronic Notification, 11-28-25 (Not obtained)	
Return of Electronic Notification, 11-29-25 (Not obtained)	
Request/Notice to Submit Request to Submit for Decision Motion for Limited Intervention Doc. 165, 12-3-25 (Not obtained)	
Return of Electronic Notification, 12-3-25 (Not obtained)	
