docket_no	title	file_id	embed_label	size	url
137	Ruling and Order Granting Defendant’s Motion to Strike and Granting in Part and Denying in Part Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-27-28	ded1002f-6589-455b-82c4-d4493cd3def9	10 27 25 Ruling And Order Re Motion To Strike And Motion To Unshackle	3.3MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ded1002f-6589-455b-82c4-d4493cd3def9.pdf
138	Standing Decorum Order, Effective 10-30-25	305e9135-e121-4111-9eb6-cd3154fd1ab8	10 27 25 Standing Decorum Order Effective 10 30 25	2.94MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/305e9135-e121-4111-9eb6-cd3154fd1ab8.pdf
141	Motion to Extend Time, Stipulated, 10-27-25	876c0c5d-f807-4a0d-a071-9c7579547ba2	10 27 25 Motion To Extend Time Stipulated	156KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/876c0c5d-f807-4a0d-a071-9c7579547ba2.pdf
146	Order Granting Stipulated Motion to Extend Time, 10-28-25	9fb6e672-5892-4eab-85f7-473fa0b7a5e2	10 28 25 Order Granting Stipulated Motion To Extend Time	746KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/9fb6e672-5892-4eab-85f7-473fa0b7a5e2.pdf
150	Request for Notice of Motions to Close Judicial Proceedings and Records, 10-30-25	faf82281-31c5-4536-9d70-f1fae049a220	10 30 25 Request For Notice Of Motions To Close Judicial Proceedings And Records	141KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/faf82281-31c5-4536-9d70-f1fae049a220.pdf
152	Stipulation Motion to Order Transcript and Classify Transcript and Audio as Private, 11-3-25	e37688ed-8cfc-4d9d-83e4-7f7d6b2b16b6	11 3 25 Stipulated Motion To Classify Transcript And Audio As Private	142KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e37688ed-8cfc-4d9d-83e4-7f7d6b2b16b6.pdf
157	Stipulated Motion Regarding Order to Preserve Evidence, 11-3-25	04d404f9-7f96-430a-86c9-09622fd3064d	11 3 25 Stipulated Motion Re Order To Preserve Evidence	183KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/04d404f9-7f96-430a-86c9-09622fd3064d.pdf
161	Stipulated Order: (1) Setting aside October 20, 2025 Order Granting Motion to Preserve Evidence; and (2) Granting in Part Motion to Preserve Evidence, 11-4-25	e0f27b7f-71b3-47f1-8a3a-ab9914ea4c7d	11 4 25 Stipulated Order Setting Aside Order On Motion To Preserve Evidence	743KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/e0f27b7f-71b3-47f1-8a3a-ab9914ea4c7d.pdf
164	Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-5-25	6394bb41-c683-4649-938b-b71b7c1e135d	11 5 25 Motion For Limited Intervention And Notice Of Motions To Close Or Seal	262KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6394bb41-c683-4649-938b-b71b7c1e135d.pdf
167	State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-6-25	8189bd29-a134-46e7-9985-659715c22cef	11 5 25 Motion To Amend Or Clarify Pretrial Publicity Order	209KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8189bd29-a134-46e7-9985-659715c22cef.pdf
