docket_seq	document_name_and_date	embed_title	size	pdf_url
339	Memorandum in Response to Defendant’s Objection to Exhibit 4.1, 1-29-26	1 29 26 Memo In Response To Objection To Exhibit 4	186KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1c9f8c95-2457-4b02-855d-6ed13e10ed40.pdf
340	Return of Electronic Notification, 1-30-26 (Not obtained)			
341	Defendant’s Reply in Support of Motion to Classify Motion to Exclude, 1-30-26	1 30 26 Defendant's Reply In Support Of Motion To Classify Motion To Exclude	200KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/0ec57362-51b4-4e17-b236-88b3d10b2529.pdf
342	Return of Electronic Notification, 1-30-26 (Not obtained)			
343	State’s Opposition to Defendants Motion to Classify Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom as Private, 1-30-26	1 30 26 State's Opposition To Motion To Classify Motion To Exclude	150KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/944dab81-b617-40f4-8f28-48b8818da35e.pdf
344	Return of Electronic Notification, 1-30-26 (Not obtained)			
345	Defendant Tyler Robinson’s Renewed Request that this Court Refer the Motion to Disqualify to the Utah Attorney General Pursuant to Utah Code 17-68-304; Memorandum of Points and Authorities, 1-30-26	1 30 26 Defendant's Request To Refer Disqualification To Ag	218KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ec2b265d-63ce-43d6-a92f-197dc19ae626.pdf
346	Return of Electronic Notification, 1-30-26 (Not obtained)			
347	Opposition to Motion to Exclude Cameras (Provisional Opposition Filed by the News Media), 1-30-26	1 30 26 Media's Opposition To Motion To Exclude	294KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ccd4dc83-c116-4aaa-8b8a-faacd97c6ef3.pdf
348	Return of Electronic Notification, 1-30-26 (Not obtained)			
349	State’s Motion for Leave to File Overlength Memorandum, 1-30-26 (Not obtained)			
350	Return of Electronic Notification, 1-30-26 (Not obtained)			
351	State’s Memorandum Opposing Defendant’s Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom, 1-30-26	1 30 26 State's Memo Oppositing Motion To Exclude Media	335KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/d9e1bdaa-a4b4-4c08-80c9-4a0b6ab422fe.pdf
352	Attachment A, 1-30-26	1 30 26 Attachment A	875KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/4f8c1f2a-b3ac-4b45-a105-5b3dd5d64afa.pdf
353	Attachment B, 1-30-26	1 30 26 Attachment B	1.05MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/8e8a4d54-873e-45c4-a042-6b468fa293ba.pdf
354	Attachment C, 1-30-26	1 30 26 Attachment C	1.22MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/3861f773-b15e-4c78-b0cf-e715c45d1f43.pdf
355	Attachment D, 1-30-26	1 30 26 Attachment D	1.66MB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1751f102-7898-4fe3-959c-825b31ef0b16.pdf
356	Attachment E, 1-30-26	1 30 26 Attachment E	1000KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/057ecd8c-a30c-4440-86cd-02463fb10835.pdf
