filename,bytes,docket_label,source_url
2025-11-13_dkt_Media_s_Notice_of_Service_re_Motion_to_Classify_Transcript_and_Audio_Filed_November_3_2025.pdf,194298,"Media’s Notice of Service re Motion to Classify Transcript and Audio Filed November 3, 2025, 11-13-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/6a7caa98-d97c-4db6-aaaf-ea91b4a8b2cb.pdf
2025-11-13_dkt_Order_Requiring_Parties_to_Serve_All_Closure_of_Reclassification_Motions_on_the_Media_div_.pdf,260997,"Order Requiring Parties to Serve All Closure of Reclassification Motions on the Media, 11-13-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/cd6d864c-ac14-4a06-ab6b-94571ba8f823.pdf
2025-11-13_dkt_Order_for_Transcript_of_October_24_2025_Hearing.pdf,203084,"Order for Transcript of October 24, 2025 Hearing, 11-13-25 <div class=""",https://andreaburkhart.substack.com/api/v1/file/9e7215ff-98ec-4958-a5ce-a6e02fe690fd.pdf
2025-11-14_dkt_Approved_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings.pdf,125729,"Approved Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/b2d2495e-5f44-4b4c-b2e2-8d3b2b61e786.pdf
2025-11-14_dkt_Not_Signed_Order_Proposed_Granting_Motion_to_Order_Transcript_and_Classify.pdf,64608,"Not Signed Order (Proposed) Granting Motion to Order Transcript and Classify, 11-14-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/1baa2009-69b5-4c72-8509-60b97659fa37.pdf
2025-11-14_dkt_Request_and_Order_for_Electronic_Media_Coverage_of_Court_Proceedings.pdf,126285,"Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/f0b798d0-7cfc-427b-ac43-1d5a6afb6a89.pdf
2025-11-17_dkt_Previously_omitted_Letter_From_Supreme_Court_Of_Utah.pdf,121870,"(Previously omitted) Letter From Supreme Court Of Utah, 11-17-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/e7bd7842-8138-4273-bcad-be29afa0370d.pdf
2025-11-19_dkt_Defendant_Tyler_James_Robinson_s_Response_to_Proposed_Media_Intervenors_Motion_for_Limited.pdf,196466,"Defendant Tyler James Robinson’s Response to Proposed Media Intervenors Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/9119f8b7-99de-4ca3-acbc-5379ed75affe.pdf
2025-11-19_dkt_State_s_Response_to_Motion_for_Limited_Intervention_and_Request_for_Notice_of_Motions_to_C.pdf,199613,"State’s Response to Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/4c1f4a1f-a77a-4deb-8e4c-5f92a3a3f48e.pdf
2025-11-20_dkt_Notice_for_Case_251403576.pdf,21640,"Notice for Case 251403576, 11-20-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/395e8c78-185e-4e82-a706-727b27e9d0d8.pdf
2025-11-20_dkt_Objection_to_State_s_Motion_to_Amend_or_Clarify_Court_s_Pre_Trial_and_Trial_Publicity_Orde.pdf,211672,"Objection to State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order, 11-20-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/44c5e7eb-398e-440a-adea-61c6c1fb748a.pdf
2025-11-21_dkt_Order_to_Transport.pdf,134934,"Order to Transport, 11-21-25<div class=""",https://andreaburkhart.substack.com/api/v1/file/81a49c78-ef38-4e56-be76-42cc597612c2.pdf
