tail,utc_date,arrive_utc_date,gap_days,origin,origin_name,origin_km_from_field,depart_after_utc,dest,dest_name,dest_km_from_field,arrive_by_utc,archives,ledger_verdict,arrive_day_verdict,unobserved_days_inside_leg,recovered_from_backup_only,crosses_utc_midnight,confidence,near_sourced_event
N872RA,2023-02-10,2023-02-10,0,KSNA,John Wayne Orange County International Airport,0.2,2023-02-10T16:24:53.920000Z,KMRY,Monterey Regional Airport,0.68,2023-02-10T19:12:20.690000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
N872RA,2023-02-10,2023-02-10,0,KMRY,Monterey Regional Airport,0.68,2023-02-10T19:13:48.810000Z,KSAN,San Diego International Airport,0.51,2023-02-10T21:08:59.730000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,ONLY_ON_AIRPLANES_LIVE,0,yes,no,direct,
N872RA,2023-02-10,2023-03-03,21,KSAN,San Diego International Airport,1.08,2023-02-10T23:33:26.110000Z,KSNA,John Wayne Orange County International Airport,0.74,2023-03-03T14:02:05.480000Z,airplanes-live,ONLY_ON_AIRPLANES_LIVE,BOTH_HAVE_IT,20,yes,yes,GAP -- aircraft unobserved for 20 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2023-02-24,2023-02-24,0,LEMD,Adolfo Suárez Madrid–Barajas Airport,0.64,2023-02-24T05:54:16.970000Z,LIME,Il Caravaggio International Airport,1.27,2023-02-24T08:33:20.020000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2023-02-24,2023-02-24,0,LIME,Il Caravaggio International Airport,1.27,2023-02-24T08:33:41.240000Z,LEMD,Adolfo Suárez Madrid–Barajas Airport,2.38,2023-02-24T10:33:40.920000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
T7-ELL,2023-02-24,2023-03-29,33,EGKB,London Biggin Hill Airport,0.86,2023-02-24T11:56:22.020000Z,KLAX,Los Angeles International Airport,1.2,2023-03-29T03:41:22.910000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,32,no,yes,GAP -- aircraft unobserved for 32 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
CONTROL-RYANAIR,2023-02-25,2023-02-25,0,LEMD,Adolfo Suárez Madrid–Barajas Airport,1.23,2023-02-25T12:46:40.010000Z,EBBR,Brussels Airport,0.49,2023-02-25T14:44:25.250000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2023-02-25,2023-02-25,0,EBBR,Brussels Airport,0.67,2023-02-25T15:39:18.460000Z,LEMD,Adolfo Suárez Madrid–Barajas Airport,1.32,2023-02-25T17:35:30.880000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2023-02-26,2023-02-26,0,LEMD,Adolfo Suárez Madrid–Barajas Airport,3.17,2023-02-26T14:41:03.130000Z,EDDH,Hamburg Helmut Schmidt Airport,0.86,2023-02-26T19:26:11.520000Z,airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,0,no,no,direct,
CONTROL-RYANAIR,2023-02-26,2023-03-13,15,EDDH,Hamburg Helmut Schmidt Airport,0.81,2023-02-26T20:30:41.040000Z,EGGD,Bristol Airport,0.79,2023-03-13T00:06:04.940000Z,adsb-lol|airplanes-live,BOTH_HAVE_IT,BOTH_HAVE_IT,14,no,yes,GAP -- aircraft unobserved for 14 day(s) between these two fields; intermediate stops are possible and are NOT ruled out,
