sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-09-19,N102DZ,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,5,False,47.97,,,True,N102DZ/data/recovered/N102DZ_2025-09-19_airplanes-live_trace_full.json.gz
2025-09-19,N102DZ,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,19,False,41.43,,,True,N102DZ/data/recovered/N102DZ_2025-09-19_adsb-lol_trace_full.json.gz
2025-09-19,N102DZ,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,38,False,41.41,,,True,N102DZ/data/recovered/N102DZ_2025-09-19_airplanes-live_trace_full.json.gz
2025-09-19,N560TW,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,10,False,47.92,,,True,N560TW/data/recovered/N560TW_2025-09-19_adsb-lol_trace_full.json.gz
2025-09-19,N560TW,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,22,False,47.92,,,True,N560TW/data/recovered/N560TW_2025-09-19_airplanes-live_trace_full.json.gz
2025-09-19,N582MM,adsb-lol,20250918_fort_collins,event,Fort Collins,CO,2025-09-18,1,Charlie,707,True,30.34,39.90864,-105.115784,True,N582MM/data/recovered/N582MM_2025-09-19_adsb-lol_trace_full.json.gz
2025-09-19,N582MM,airplanes-live,20250918_fort_collins,event,Fort Collins,CO,2025-09-18,1,Charlie,743,True,30.34,39.909004,-105.116486,True,N582MM/data/recovered/N582MM_2025-09-19_airplanes-live_trace_full.json.gz
2025-09-19,N582MM,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,19,False,40.52,,,True,N582MM/data/recovered/N582MM_2025-09-19_adsb-lol_trace_full.json.gz
2025-09-19,N582MM,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,40,False,40.52,,,True,N582MM/data/recovered/N582MM_2025-09-19_airplanes-live_trace_full.json.gz
2025-09-20,N102DZ,adsb-lol,20250921_glendale,event,Glendale,AZ,2025-09-21,-1,Erika,215,True,15.37,33.620739,-111.91303,False,N102DZ/data/recovered/N102DZ_2025-09-20_adsb-lol_trace_full.json.gz
