sweep_date,circle_key,circle_kind,city,state,event_date,offset_days,who,entering,on_ground,notable_ground_all,notable_ground_excl_airliner
2023-06-11,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,419,10,4,4
2023-06-11,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,679,0,0,0
2023-06-12,20230611_grapevine,event,Grapevine,TX,2023-06-11,1,Charlie,1852,548,41,14
2023-06-12,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,970,132,28,27
2023-06-12,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,881,0,0,0
2023-06-12,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,841,0,0,0
2023-06-12,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,1020,0,0,0
2023-06-12,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,451,15,4,4
2023-06-12,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,684,0,0,0
2023-06-16,20230617_deerfield,event,Deerfield,IL,2023-06-17,-1,Charlie,2458,133,7,7
2023-06-16,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1032,141,23,21
2023-06-16,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1064,0,0,0
2023-06-16,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,870,0,0,0
2023-06-16,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,932,0,0,0
2023-06-16,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,505,18,5,5
2023-06-16,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,796,0,0,0
2023-06-17,20230617_deerfield,event,Deerfield,IL,2023-06-17,0,Charlie,2380,300,30,21
2023-06-17,20230618_deerfield,event,Deerfield,IL,2023-06-18,-1,Charlie,2380,300,30,21
2023-06-17,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1123,119,10,9
2023-06-17,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,950,0,0,0
2023-06-17,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,632,0,0,0
2023-06-17,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,665,0,0,0
2023-06-17,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,440,20,3,3
2023-06-17,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,599,0,0,0
2023-06-20,20230619_deerfield,event,Deerfield,IL,2023-06-19,1,Charlie,2421,144,8,7
2023-06-20,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,901,120,14,12
2023-06-20,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,856,0,0,0
2023-06-20,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,928,0,0,0
2023-06-20,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,774,0,0,0
2023-06-20,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,410,7,1,1
2023-06-20,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,704,0,0,0
2023-07-11,20230712_west_palm_beach,event,West Palm Beach,FL,2023-07-12,-1,Charlie,804,0,0,0
2023-07-11,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,969,131,20,18
2023-07-11,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,949,0,0,0
2023-07-11,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,982,0,0,0
2023-07-11,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,719,0,0,0
2023-07-11,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,476,26,5,5
2023-07-11,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,793,1,0,0
2023-07-12,20230712_west_palm_beach,event,West Palm Beach,FL,2023-07-12,0,Charlie,784,0,0,0
