date,key,kind,city,state,entering,on_ground,tracked_fleet,milgov,foreign_civil,unregistered,tisb_artifact,pia_only,ladd_only,other
2023-06-11,control_spokane,control,Spokane,WA,419,10,0,0,0,0,0,0,4,0
2023-06-11,control_syracuse,control,Syracuse,NY,679,0,0,0,0,0,0,0,0,0
2023-06-12,20230611_grapevine,event,Grapevine,TX,1852,548,0,1,0,3,1,0,7,0
2023-06-12,control_albuquerque,control,Albuquerque,NM,970,132,0,15,0,0,0,0,12,0
2023-06-12,control_chattanooga,control,Chattanooga,TN,881,0,0,0,0,0,0,0,0,0
2023-06-12,control_des_moines,control,Des Moines,IA,841,0,0,0,0,0,0,0,0,0
2023-06-12,control_shreveport,control,Shreveport,LA,1020,0,0,0,0,0,0,0,0,0
2023-06-12,control_spokane,control,Spokane,WA,451,15,0,0,1,0,0,0,3,0
2023-06-12,control_syracuse,control,Syracuse,NY,684,0,0,0,0,0,0,0,0,0
2023-06-16,20230617_deerfield,event,Deerfield,IL,2458,133,0,0,0,1,1,0,5,0
2023-06-16,control_albuquerque,control,Albuquerque,NM,1032,141,0,13,0,2,0,0,6,0
2023-06-16,control_chattanooga,control,Chattanooga,TN,1064,0,0,0,0,0,0,0,0,0
2023-06-16,control_des_moines,control,Des Moines,IA,870,0,0,0,0,0,0,0,0,0
2023-06-16,control_shreveport,control,Shreveport,LA,932,0,0,0,0,0,0,0,0,0
2023-06-16,control_spokane,control,Spokane,WA,505,18,0,0,1,0,0,0,4,0
2023-06-16,control_syracuse,control,Syracuse,NY,796,0,0,0,0,0,0,0,0,0
2023-06-17,20230617_deerfield,event,Deerfield,IL,2380,300,0,0,0,1,7,0,12,0
2023-06-17,20230618_deerfield,event,Deerfield,IL,2380,300,0,0,0,1,7,0,12,0
2023-06-17,control_albuquerque,control,Albuquerque,NM,1123,119,0,6,0,0,0,0,3,0
2023-06-17,control_chattanooga,control,Chattanooga,TN,950,0,0,0,0,0,0,0,0,0
2023-06-17,control_des_moines,control,Des Moines,IA,632,0,0,0,0,0,0,0,0,0
2023-06-17,control_shreveport,control,Shreveport,LA,665,0,0,0,0,0,0,0,0,0
2023-06-17,control_spokane,control,Spokane,WA,440,20,0,0,0,0,0,0,3,0
2023-06-17,control_syracuse,control,Syracuse,NY,599,0,0,0,0,0,0,0,0,0
2023-06-20,20230619_deerfield,event,Deerfield,IL,2421,144,0,0,0,1,0,0,6,0
2023-06-20,control_albuquerque,control,Albuquerque,NM,901,120,0,10,0,1,0,0,1,0
2023-06-20,control_chattanooga,control,Chattanooga,TN,856,0,0,0,0,0,0,0,0,0
2023-06-20,control_des_moines,control,Des Moines,IA,928,0,0,0,0,0,0,0,0,0
2023-06-20,control_shreveport,control,Shreveport,LA,774,0,0,0,0,0,0,0,0,0
2023-06-20,control_spokane,control,Spokane,WA,410,7,0,0,0,0,0,0,1,0
2023-06-20,control_syracuse,control,Syracuse,NY,704,0,0,0,0,0,0,0,0,0
2023-07-11,20230712_west_palm_beach,event,West Palm Beach,FL,804,0,0,0,0,0,0,0,0,0
2023-07-11,control_albuquerque,control,Albuquerque,NM,969,131,0,11,0,0,0,0,7,0
2023-07-11,control_chattanooga,control,Chattanooga,TN,949,0,0,0,0,0,0,0,0,0
2023-07-11,control_des_moines,control,Des Moines,IA,982,0,0,0,0,0,0,0,0,0
2023-07-11,control_shreveport,control,Shreveport,LA,719,0,0,0,0,0,0,0,0,0
2023-07-11,control_spokane,control,Spokane,WA,476,26,0,0,1,0,0,0,4,0
2023-07-11,control_syracuse,control,Syracuse,NY,793,1,0,0,0,0,0,0,0,0
2023-07-12,20230712_west_palm_beach,event,West Palm Beach,FL,784,0,0,0,0,0,0,0,0,0
2023-07-12,20230713_west_palm_beach,event,West Palm Beach,FL,784,0,0,0,0,0,0,0,0,0
2023-07-12,control_albuquerque,control,Albuquerque,NM,1017,133,0,11,0,0,0,0,5,0
2023-07-12,control_chattanooga,control,Chattanooga,TN,962,0,0,0,0,0,0,0,0,0
2023-07-12,control_des_moines,control,Des Moines,IA,529,0,0,0,0,0,0,0,0,0
2023-07-12,control_shreveport,control,Shreveport,LA,689,0,0,0,0,0,0,0,0,0
2023-07-12,control_spokane,control,Spokane,WA,502,17,0,1,0,0,0,0,6,0
2023-07-12,control_syracuse,control,Syracuse,NY,833,0,0,0,0,0,0,0,0,0
2023-07-13,20230712_west_palm_beach,event,West Palm Beach,FL,843,0,0,0,0,0,0,0,0,0
2023-07-13,20230713_west_palm_beach,event,West Palm Beach,FL,843,0,0,0,0,0,0,0,0,0
2023-07-13,20230714_west_palm_beach,event,West Palm Beach,FL,843,0,0,0,0,0,0,0,0,0
2023-07-13,control_albuquerque,control,Albuquerque,NM,989,160,0,15,0,0,0,0,6,0
2023-07-13,control_chattanooga,control,Chattanooga,TN,1105,0,0,0,0,0,0,0,0,0
2023-07-13,control_des_moines,control,Des Moines,IA,877,0,0,0,0,0,0,0,0,0
2023-07-13,control_shreveport,control,Shreveport,LA,854,0,0,0,0,0,0,0,0,0
2023-07-13,control_spokane,control,Spokane,WA,551,27,0,1,0,1,0,0,7,0
2023-07-13,control_syracuse,control,Syracuse,NY,644,0,0,0,0,0,0,0,0,0
2023-07-14,20230713_west_palm_beach,event,West Palm Beach,FL,857,0,0,0,0,0,0,0,0,0
2023-07-14,20230714_west_palm_beach,event,West Palm Beach,FL,857,0,0,0,0,0,0,0,0,0
2023-07-14,20230715_west_palm_beach,event,West Palm Beach,FL,857,0,0,0,0,0,0,0,0,0
2023-07-14,control_albuquerque,control,Albuquerque,NM,949,139,0,8,0,0,0,0,9,0
2023-07-14,control_chattanooga,control,Chattanooga,TN,1089,0,0,0,0,0,0,0,0,0
2023-07-14,control_des_moines,control,Des Moines,IA,822,1,0,0,0,0,0,0,0,0
2023-07-14,control_shreveport,control,Shreveport,LA,992,0,0,0,0,0,0,0,0,0
2023-07-14,control_spokane,control,Spokane,WA,526,20,0,1,0,0,0,0,6,0
2023-07-14,control_syracuse,control,Syracuse,NY,898,0,0,0,0,0,0,0,0,0
2023-07-15,20230714_west_palm_beach,event,West Palm Beach,FL,889,1,0,0,0,0,0,0,0,0
2023-07-15,20230715_west_palm_beach,event,West Palm Beach,FL,889,1,0,0,0,0,0,0,0,0
2023-07-15,20230716_west_palm_beach,event,West Palm Beach,FL,889,1,0,0,0,0,0,0,0,0
2023-07-15,control_albuquerque,control,Albuquerque,NM,896,135,0,6,0,1,0,0,5,0
2023-07-15,control_chattanooga,control,Chattanooga,TN,1007,0,0,0,0,0,0,0,0,0
2023-07-15,control_des_moines,control,Des Moines,IA,775,0,0,0,0,0,0,0,0,0
2023-07-15,control_shreveport,control,Shreveport,LA,884,0,0,0,0,0,0,0,0,0
2023-07-15,control_spokane,control,Spokane,WA,477,20,0,0,0,0,0,0,2,0
2023-07-15,control_syracuse,control,Syracuse,NY,878,0,0,0,0,0,0,0,0,0
2023-07-16,20230715_west_palm_beach,event,West Palm Beach,FL,741,0,0,0,0,0,0,0,0,0
2023-07-16,20230716_west_palm_beach,event,West Palm Beach,FL,741,0,0,0,0,0,0,0,0,0
2023-07-16,control_albuquerque,control,Albuquerque,NM,798,111,0,2,1,0,0,0,7,0
2023-07-16,control_chattanooga,control,Chattanooga,TN,922,0,0,0,0,0,0,0,0,0
2023-07-16,control_des_moines,control,Des Moines,IA,846,0,0,0,0,0,0,0,0,0
2023-07-16,control_shreveport,control,Shreveport,LA,617,0,0,0,0,0,0,0,0,0
2023-07-16,control_spokane,control,Spokane,WA,456,26,0,0,2,0,0,0,9,0
2023-07-16,control_syracuse,control,Syracuse,NY,855,0,0,0,0,0,0,0,0,0
2023-07-17,20230716_west_palm_beach,event,West Palm Beach,FL,885,0,0,0,0,0,0,0,0,0
2023-07-17,control_albuquerque,control,Albuquerque,NM,855,131,0,7,1,0,0,0,4,0
2023-07-17,control_chattanooga,control,Chattanooga,TN,957,0,0,0,0,0,0,0,0,0
2023-07-17,control_des_moines,control,Des Moines,IA,901,0,0,0,0,0,0,0,0,0
2023-07-17,control_shreveport,control,Shreveport,LA,767,0,0,0,0,0,0,0,0,0
2023-07-17,control_spokane,control,Spokane,WA,487,17,0,0,0,1,0,0,5,0
2023-07-17,control_syracuse,control,Syracuse,NY,832,0,0,0,0,0,0,0,0,0
2023-08-24,20230825_lincoln,event,Lincoln,NE,892,13,0,5,0,0,0,0,0,0
2023-08-24,control_albuquerque,control,Albuquerque,NM,1000,115,0,9,0,0,0,0,3,0
2023-08-24,control_chattanooga,control,Chattanooga,TN,1083,0,0,0,0,0,0,0,0,0
2023-08-24,control_des_moines,control,Des Moines,IA,809,2,0,0,0,0,0,0,0,0
2023-08-24,control_shreveport,control,Shreveport,LA,885,1,0,0,0,0,0,0,0,0
2023-08-24,control_spokane,control,Spokane,WA,496,14,0,0,0,0,0,0,6,0
2023-08-24,control_syracuse,control,Syracuse,NY,842,0,0,0,0,0,0,0,0,0
2023-08-25,20230825_lincoln,event,Lincoln,NE,863,16,0,7,0,0,0,0,1,0
2023-08-25,control_albuquerque,control,Albuquerque,NM,1061,141,0,15,0,0,0,0,6,0
2023-08-25,control_chattanooga,control,Chattanooga,TN,1000,0,0,0,0,0,0,0,0,0
2023-08-25,control_des_moines,control,Des Moines,IA,803,0,0,0,0,0,0,0,0,0
2023-08-25,control_shreveport,control,Shreveport,LA,862,0,0,0,0,0,0,0,0,0
2023-08-25,control_spokane,control,Spokane,WA,506,24,0,0,0,0,0,0,9,0
2023-08-25,control_syracuse,control,Syracuse,NY,831,0,0,0,0,0,0,0,0,0
2023-08-26,20230825_lincoln,event,Lincoln,NE,815,4,0,0,0,0,0,0,1,0
2023-08-26,control_albuquerque,control,Albuquerque,NM,866,132,1,7,0,0,0,0,3,0
2023-08-26,control_chattanooga,control,Chattanooga,TN,945,0,0,0,0,0,0,0,0,0
2023-08-26,control_des_moines,control,Des Moines,IA,891,0,0,0,0,0,0,0,0,0
2023-08-26,control_shreveport,control,Shreveport,LA,761,1,0,0,0,0,0,0,1,0
2023-08-26,control_spokane,control,Spokane,WA,499,17,0,0,0,0,0,0,2,0
2023-08-26,control_syracuse,control,Syracuse,NY,725,0,0,0,0,0,0,0,0,0
2023-09-12,20230913_san_diego,event,San Diego,CA,1658,192,0,17,0,5,0,0,21,0
2023-09-12,control_albuquerque,control,Albuquerque,NM,818,114,0,7,0,0,0,0,7,0
2023-09-12,control_chattanooga,control,Chattanooga,TN,947,1,0,0,0,0,0,0,0,0
2023-09-12,control_des_moines,control,Des Moines,IA,959,0,0,0,0,0,0,0,0,0
2023-09-12,control_shreveport,control,Shreveport,LA,905,1,0,0,0,0,0,0,0,0
2023-09-12,control_spokane,control,Spokane,WA,480,16,0,1,0,0,0,0,2,0
2023-09-12,control_syracuse,control,Syracuse,NY,781,0,0,0,0,0,0,0,0,0
2023-09-13,20230913_san_diego,event,San Diego,CA,1730,203,0,19,0,8,0,0,23,0
2023-09-13,20230914_san_diego,event,San Diego,CA,1730,203,0,19,0,8,0,0,23,0
2023-09-13,control_albuquerque,control,Albuquerque,NM,860,124,0,9,0,1,0,0,7,0
2023-09-13,control_chattanooga,control,Chattanooga,TN,953,0,0,0,0,0,0,0,0,0
