tail,date,file_date,dated_from_previous_utc_day,airport_code,airport_name,airport_city,median_km_from_field,ground_points,first_seen_utc,last_seen_utc,lat,lon,type,registration,sources,archives_agreeing,nearest_event_city,nearest_event_state,nearest_event_date,nearest_event_who,nearest_event_title,charlie_present,erika_present,event_offset_days,miles_to_event_city,within_50mi,same_day,event_page
CONTROL-LUFTHANSA,2023-02-09,2023-02-09,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,1.03,54,2023-02-09T15:17:32.850000Z,2023-02-09T15:24:11.040000Z,53.63432,10.00241,A319,D-AIBD,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,5496.82,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-09,2023-02-09,False,KLGB,Long Beach International Airport,Long Beach,0.4,23,2023-02-09T00:33:51.430000Z,2023-02-09T00:41:08.800000Z,33.81305,-118.15077,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,359.04,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-09,2023-02-09,False,KSAC,Sacramento Executive Airport,Sacramento,0.58,57,2023-02-09T01:41:05.430000Z,2023-02-09T01:45:09.570000Z,38.50961,-121.49849,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,640.95,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-09,2023-02-09,False,KSAC,Sacramento Executive Airport,Sacramento,0.43,101,2023-02-09T02:43:11.310000Z,2023-02-09T03:20:14.090000Z,38.51345,-121.49782,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,641.05,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-09,2023-02-09,False,KSFO,San Francisco International Airport,San Francisco,0.78,37,2023-02-09T05:38:05.650000Z,2023-02-09T05:42:12.630000Z,37.62502,-122.38081,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,656.02,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
N872RA,2023-02-09,2023-02-09,False,KSNA,John Wayne Orange County International Airport,Santa Ana,0.19,27,2023-02-09T06:42:51.220000Z,2023-02-09T06:45:47.600000Z,33.67408,-117.87095,BE40,N872RA,airplanes-live,1,Tempe,AZ,2023-02-08,Charlie,"Health, Wealth and Happiness — ASU Gammage",yes,not_documented,-1,342.59,no,no,site/docs/Planes/following/speaking/20230208_tempe.mdx
CONTROL-LUFTHANSA,2023-02-10,2023-02-10,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.3,75,2023-02-10T08:58:28.420000Z,2023-02-10T09:03:04.550000Z,53.62973,9.99269,A319,D-AIBD,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-LUFTHANSA,2023-02-10,2023-02-10,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.9,52,2023-02-10T09:56:10.480000Z,2023-02-10T10:02:18.340000Z,53.63107,10.00188,A319,D-AIBD,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-LUFTHANSA,2023-02-10,2023-02-10,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.09,68,2023-02-10T13:19:10.290000Z,2023-02-10T13:22:38.650000Z,53.63048,9.98963,A319,D-AIBD,airplanes-live,1,,,,,,,,,,no,no,
CONTROL-LUFTHANSA,2023-02-10,2023-02-10,False,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,0.79,61,2023-02-10T14:16:02.810000Z,2023-02-10T14:20:47.400000Z,53.63047,10.00027,A319,D-AIBD,airplanes-live,1,,,,,,,,,,no,no,
