hex,reg,type,operator,flags,event_days,distinct_cities,states,states_list,top_city,top_city_hits,top_city_share,off_m1,off_0,off_p1,day0_share,control_cities,control_contaminated
a76e37,N578XJ,CL30,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
ac5e01,N8960L,,BOEING CO,NONE,4,2,2,TN|TX,"Dallas,TX",3,0.6,0,2,3,0.4,Albuquerque,yes
a804fe,N61591,C68A,NICHOLAS SERVICES LLC,dbflag:LADD,4,2,2,FL|VA,"Tampa,FL",3,0.75,2,1,1,0.25,,no
ad34c1,N950BA,CL30,AB JET CO III LLC,NONE,4,2,2,CO|FL,"Tampa,FL",3,0.75,2,1,1,0.25,,no
a32fda,N304TC,C25B,CANYONS AVIATION GROUP LLC,NONE,4,2,2,FL|VA,"Tampa,FL",3,0.75,1,2,1,0.5,,no
a646e5,N503UP,C56X,WHEELS UP PARTNERS LLC,NONE,4,2,2,FL|TN,"Tampa,FL",2,0.5,0,2,2,0.5,,no
a4d3a6,,,,no_registration,4,2,2,FL|TX,"Dallas,TX",3,0.75,1,1,2,0.25,,no
a66046,N51ND,C560,"N51ND LLC, MY JET DIRECT SERVICE LLC",dbflag:LADD,4,2,2,FL|TX,"Dallas,TX",3,0.75,1,1,2,0.25,,no
a314ad,N298RD,F900,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,NONE,4,2,2,FL|TX,"Dallas,TX",3,0.75,1,1,2,0.25,,no
aaa6d0,N786A,PA44,ATP AIRCRAFT 2 LLC,dbflag:LADD,4,2,2,CA|UT,"Rancho Palos Verdes,CA",4,0.571,3,2,2,0.286,,no
a79dc4,N590DT,,DELTA AIR LINES INC,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",7,0.875,3,3,2,0.375,,no
a2cde7,N28ZF,H25B,CORE PROJECTS INC,dbflag:LADD,4,2,2,CA|UT,"Rancho Palos Verdes,CA",5,0.833,2,3,1,0.5,,no
a9b29a,N724C,E550,US BANK NA,dbflag:LADD,4,2,2,CA|MN,"Rancho Palos Verdes,CA",5,0.714,3,2,2,0.286,,no
a1fb33,N227BZ,BCS3,BANK OF UTAH TRUSTEE,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",6,0.857,2,3,2,0.429,,no
a276a5,N258QS,CL60,"DESMOND BEACH AVIATION LLC, FLORENCE WALTERS LLC, MONTAG JANET, ",NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",5,0.833,2,2,2,0.333,Syracuse,yes
aa66fb,N77DB,C25A,DARRIGO BROS CO OF CALIFORNIA,NONE,4,2,2,CA|CO,"Rancho Palos Verdes,CA",5,0.714,2,3,2,0.429,,no
ada2cc,N978QS,C68A,TEXTRON AVIATION INC,NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",2,0.5,1,2,1,0.5,Spokane,yes
a13f96,N18NY,GA5C,TSTC LLC,dbflag:LADD,4,2,2,CA|TN,"Rancho Palos Verdes,CA",4,0.8,1,1,3,0.2,,no
a3c653,N342SG,LJ45,MHS 3-2-1 GO LLC,dbflag:LADD,4,2,2,CA|CO,"Rancho Palos Verdes,CA",3,0.75,1,2,1,0.5,,no
a7670b,N5760,P180,HAWK RIDGE LLC,dbflag:LADD,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",3,0.6,1,2,2,0.4,,no
a31b9c,N3LB,GLF6,N3LB LLC,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",3,0.75,2,1,1,0.25,,no
a6cb01,N537FX,CL35,"DAWSCO US CORP, MACJ LLC, FEINSTEIN RICHARD, ARDMORE AIR LLC, FE",NONE,4,2,2,CA|TX,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
ac9535,N91KB,S22T,LEVEL 2 HOLDINGS LLC,NONE,4,2,2,AZ|CA,"Rancho Palos Verdes,CA",3,0.75,1,1,2,0.25,,no
48c9cf,SP-TOP,GLF6,,dbflag:LADD|non_us_registration,4,2,2,CA|TX,"Dallas,TX",5,0.833,2,2,2,0.333,,no
a18e3c,N2KK,C56X,PONY EXPRESS HOLDINGS LLC,NONE,4,2,2,TN|TX,"Dallas,TX",5,0.833,2,2,2,0.333,,no
a5e6e1,N48GL,GLF4,GENESIS ADVENTURES LLC,NONE,4,2,2,TN|TX,"Murfreesboro,TN",3,0.6,1,2,2,0.4,Albuquerque,yes
a64531,N503BC,LJ60,"DC-SS LLC, HOOPER TOURS LLC",NONE,4,2,2,AZ|TX,"Dallas,TX",5,0.833,3,2,1,0.333,,no
