side,registry,tail,date,airport,airport_name,airport_city,median_km_from_field,ground_points,ground_segments,first_seen_utc,last_seen_utc,event_city,event_state,event_date,event_offset_days,event_who,event_title,charlie_sourced_present,erika_sourced_present,miles_to_event_city,archives_holding,archives_agreeing,ledger_verdict,adsb_lol_403_band,visit_only_in_non_adsblol_archive,adsb_lol_held_the_day,needed_wayback_or_github_backup,event_page
kirk,United States,N582MM,2024-10-24,KLZU,Gwinnett County Briscoe Field,Lawrenceville,0.81,17,1,2024-10-24T02:11:47.650000Z,2024-10-24T02:12:50.520000Z,Duluth,GA,2024-10-23,-1,Charlie,Turning Point Action Georgia For Trump rally,yes,not_documented,11.32,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241023_duluth.mdx
kirk,United States,N582MM,2024-10-27,KSDL,Scottsdale Airport,Scottsdale,0.18,122,1,2024-10-27T04:33:56.470000Z,2024-10-27T04:57:35.280000Z,Phoenix,AZ,2024-10-28,1,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,10.84,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N560TW,2024-10-28,KSDL,Scottsdale Airport,Scottsdale,0.12,47,1,2024-10-28T20:42:22.090000Z,2024-10-28T20:44:30.160000Z,Phoenix,AZ,2024-10-28,0,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,10.93,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N582MM,2024-10-28,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.7,21,1,2024-10-28T01:34:46.610000Z,2024-10-28T01:36:05.190000Z,Phoenix,AZ,2024-10-28,0,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,10.7,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N560TW,2024-10-29,KSDL,Scottsdale Airport,Scottsdale,0.43,141,2,2024-10-29T15:43:28.420000Z,2024-10-29T19:38:28.180000Z,Phoenix,AZ,2024-10-28,-1,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,11.15,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N582MM,2024-10-29,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.81,300,1,2024-10-29T21:11:32.660000Z,2024-10-29T23:59:19.620000Z,Phoenix,AZ,2024-10-28,-1,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,10.77,airplanes-live,1,BOTH_HAVE_IT,no,yes,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N582MM,2024-10-29,KSDL,Scottsdale Airport,Scottsdale,0.24,676,1,2024-10-29T21:11:32.660000Z,2024-10-29T23:59:41.030000Z,Phoenix,AZ,2024-10-28,-1,Charlie,GOTV / Prove Me Wrong — Grand Canyon University,yes,not_documented,10.79,adsb-lol,1,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241028_phoenix.mdx
kirk,United States,N582MM,2024-12-18,KSDL,Scottsdale Airport,Scottsdale,0.44,313,2,2024-12-18T00:28:10.120000Z,2024-12-18T19:53:47.520000Z,Phoenix,AZ,2024-12-19,1,Charlie,AmericaFest 2024,yes,not_documented,10.67,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N560TW,2024-12-20,KSDL,Scottsdale Airport,Scottsdale,0.13,51,1,2024-12-20T20:39:36.550000Z,2024-12-20T20:42:09.910000Z,Phoenix,AZ,2024-12-19,-1,Charlie,AmericaFest 2024,yes,not_documented,10.95,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N582MM,2024-12-20,KSDL,Scottsdale Airport,Scottsdale,0.63,692,2,2024-12-20T04:05:49.810000Z,2024-12-20T17:08:45.390000Z,Phoenix,AZ,2024-12-19,-1,Charlie,AmericaFest 2024,yes,not_documented,11.27,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N872RA,2024-12-20,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.29,34,1,2024-12-20T19:15:34.930000Z,2024-12-20T20:07:27.090000Z,Phoenix,AZ,2024-12-19,-1,Charlie,AmericaFest 2024,yes,not_documented,10.82,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N560TW,2024-12-21,KSDL,Scottsdale Airport,Scottsdale,0.17,138,2,2024-12-21T14:33:30.410000Z,2024-12-21T18:51:30.410000Z,Phoenix,AZ,2024-12-20,-1,Charlie,AmericaFest 2024,yes,not_documented,10.85,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N582MM,2024-12-21,KSDL,Scottsdale Airport,Scottsdale,0.2,296,2,2024-12-21T00:20:28.500000Z,2024-12-21T12:54:41.230000Z,Phoenix,AZ,2024-12-20,-1,Charlie,AmericaFest 2024,yes,not_documented,10.81,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N582MM,2024-12-22,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.82,18,1,2024-12-22T21:53:18.600000Z,2024-12-22T21:54:26.350000Z,Phoenix,AZ,2024-12-21,-1,Charlie,AmericaFest 2024,yes,not_documented,10.69,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N582MM,2024-12-23,KPHX,Phoenix Sky Harbor International Airport,Phoenix,2.1,49,2,2024-12-23T15:43:21.830000Z,2024-12-23T17:32:17.710000Z,Phoenix,AZ,2024-12-22,-1,Charlie,AmericaFest 2024,yes,not_documented,10.61,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N872RA,2024-12-23,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.74,28,2,2024-12-23T02:02:39.440000Z,2024-12-23T16:02:33.740000Z,Phoenix,AZ,2024-12-22,-1,Charlie,AmericaFest 2024,yes,not_documented,10.71,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N872RA,2024-12-23,KSDL,Scottsdale Airport,Scottsdale,0.71,118,1,2024-12-23T21:53:27.220000Z,2024-12-23T22:54:49Z,Phoenix,AZ,2024-12-22,-1,Charlie,AmericaFest 2024,yes,not_documented,11.31,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20241219_phoenix.mdx
kirk,United States,N560TW,2025-02-18,KSDL,Scottsdale Airport,Scottsdale,0.22,109,1,2025-02-18T20:01:42.510000Z,2025-02-18T20:23:27.820000Z,Phoenix,AZ,2025-02-18,0,Charlie,Hillsdale College National Leadership Seminar,yes,not_documented,10.76,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20250218_phoenix.mdx
kirk,United States,N560TW,2025-02-19,KSDL,Scottsdale Airport,Scottsdale,0.34,50,1,2025-02-19T17:12:23.230000Z,2025-02-19T17:14:33.970000Z,Phoenix,AZ,2025-02-18,-1,Charlie,Hillsdale College National Leadership Seminar,yes,not_documented,10.7,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20250218_phoenix.mdx
kirk,United States,N582MM,2025-02-19,KPHX,Phoenix Sky Harbor International Airport,Phoenix,1.71,233,2,2025-02-19T04:26:16.580000Z,2025-02-19T23:56:24.460000Z,Phoenix,AZ,2025-02-18,-1,Charlie,Hillsdale College National Leadership Seminar,yes,not_documented,10.7,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20250218_phoenix.mdx
kirk,United States,N582MM,2025-02-20,KSDL,Scottsdale Airport,Scottsdale,0.72,362,1,2025-02-20T00:13:28.190000Z,2025-02-20T01:30:24.960000Z,Phoenix,AZ,2025-02-19,-1,Charlie,Hillsdale College National Leadership Seminar,yes,not_documented,11.33,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20250218_phoenix.mdx
kirk,United States,N582MM,2025-02-20,KTPA,Tampa International Airport,Tampa,1.27,37,2,2025-02-20T04:51:25.710000Z,2025-02-20T22:30:38.710000Z,Tampa,FL,2025-02-20,0,Charlie,American Comeback Tour — University of South Florida (first 2025 campus stop),yes,not_documented,3.16,adsb-lol|airplanes-live,2,BOTH_HAVE_IT,no,no,yes,no,site/docs/Planes/following/speaking/20250220_tampa.mdx
kirk,United States,N582MM,2025-02-21,KLAL,Lakeland Linder International Airport,Lakeland,0.78,2,1,2025-02-21T02:55:45.260000Z,2025-02-21T02:55:48.400000Z,Tampa,FL,2025-02-20,-1,Charlie,American Comeback Tour — University of South Florida (first 2025 campus stop),yes,not_documented,28.51,airplanes-live,1,BOTH_HAVE_IT,no,yes,yes,no,site/docs/Planes/following/speaking/20250220_tampa.mdx
