tail,date_utc,callsign,from_icao,from_place,from_state,to_icao,to_place,to_state,off_utc,on_utc,status,us_leg,us_end,path_positions,path_max_altitude_ft,path_first_utc,path_last_utc
SU-BTU,2023-05-28,SU-BTU,KILG,Wilmington,DE,L 30.56012 30.92921,Cairo,,2023-05-28T11:34:37Z,2023-05-28T11:34:37Z,result unknown,yes,departure,919,45000,2023-05-28T11:34:37Z,2023-05-28T22:28:35Z
SU-BTV,2023-06-30,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-06-30T07:00:30Z,2023-06-30T15:45:05Z,Arrived,yes,arrival,742,43000,2023-06-30T07:00:30Z,2023-06-30T15:44:11Z
SU-BTV,2023-07-05,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-07-05T13:47:53Z,2023-07-05T15:39:26Z,Arrived,yes,both,237,41100,2023-07-05T13:47:53Z,2023-07-05T15:38:39Z
SU-BTV,2023-07-07,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-07-07T12:06:59Z,2023-07-07T12:06:59Z,result unknown,yes,departure,913,43000,2023-07-07T12:06:59Z,2023-07-07T22:45:24Z
SU-BTU,2023-07-10,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-07-10T08:43:52Z,2023-07-10T17:23:32Z,Arrived,yes,arrival,722,43000,2023-07-10T08:43:52Z,2023-07-10T17:22:39Z
SU-BGM,2023-07-14,SU-BGM,KCPS,Cahokia/St Louis,IL,KCPS,Cahokia/St Louis,IL,2023-07-14T15:09:20Z,2023-07-14T16:18:34Z,Arrived,yes,both,161,45100,2023-07-14T15:09:20Z,2023-07-14T16:17:45Z
SU-BTU,2023-07-14,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-07-14T14:00:52Z,2023-07-14T15:47:21Z,Arrived,yes,both,219,41000,2023-07-14T14:00:52Z,2023-07-14T15:41:57Z
SU-BTU,2023-07-17,SU-BTU,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-07-17T11:50:08Z,2023-07-17T11:50:08Z,result unknown,yes,departure,937,45100,2023-07-17T11:50:08Z,2023-07-17T22:16:39Z
SU-BGM,2023-07-18,SU-BGM,KCPS,Cahokia/St Louis,IL,CYYR,Goose Bay,NL,2023-07-18T19:55:16Z,2023-07-18T23:08:21Z,Arrived,yes,departure,393,43000,2023-07-18T19:55:16Z,2023-07-18T23:07:28Z
SU-BTV,2023-07-24,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-07-24T09:15:16Z,2023-07-24T18:25:12Z,Arrived,yes,arrival,610,43000,2023-07-24T09:15:16Z,2023-07-24T18:24:03Z
SU-BTV,2023-07-28,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-07-28T14:49:26Z,2023-07-28T16:39:56Z,Arrived,yes,both,227,45100,2023-07-28T14:49:26Z,2023-07-28T16:36:17Z
SU-BTV,2023-07-31,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-07-31T12:08:55Z,2023-07-31T21:50:11Z,Arrived,yes,departure,852,45000,2023-07-31T12:08:55Z,2023-07-31T21:48:31Z
SU-BTU,2023-08-11,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-08-11T06:50:03Z,2023-08-11T15:11:58Z,Arrived,yes,arrival,545,43100,2023-08-11T06:50:03Z,2023-08-11T15:11:20Z
SU-BTU,2023-08-16,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-08-16T13:48:19Z,2023-08-16T15:41:29Z,Arrived,yes,both,234,41000,2023-08-16T13:48:19Z,2023-08-16T15:34:06Z
SU-BTU,2023-08-18,SU-BTU,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-08-18T12:28:21Z,2023-08-18T23:03:18Z,Arrived,yes,departure,911,43000,2023-08-18T12:28:21Z,2023-08-18T23:01:08Z
SU-BTV,2023-09-19,SU-BTV,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-09-19T06:41:19Z,2023-09-19T15:32:47Z,Arrived,yes,arrival,576,43000,2023-09-19T06:41:19Z,2023-09-19T15:31:52Z
SU-BTV,2023-09-19,SU-BTV,KSUS,St Louis,MO,KICT,Wichita,KS,2023-09-19T16:38:04Z,2023-09-19T17:34:48Z,Arrived,yes,both,135,32000,2023-09-19T16:38:04Z,2023-09-19T17:34:27Z
SU-BTV,2023-09-24,SU-BTV,KICT,Wichita,KS,KILG,Wilmington,DE,2023-09-24T12:55:57Z,2023-09-24T15:16:20Z,Arrived,yes,both,296,39000,2023-09-24T12:55:57Z,2023-09-24T15:15:04Z
SU-BTV,2023-09-26,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-09-26T12:02:07Z,2023-09-26T12:02:07Z,result unknown,yes,departure,901,43000,2023-09-26T12:02:07Z,2023-09-26T22:26:08Z
SU-BTU,2023-10-08,SU-BTU,LFPB,Paris,IDF,KSUS,St Louis,MO,2023-10-08T09:35:13Z,2023-10-08T18:38:42Z,Arrived,yes,arrival,660,43000,2023-10-08T09:35:13Z,2023-10-08T18:37:40Z
SU-BTU,2023-10-13,SU-BTU,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-10-13T14:52:59Z,2023-10-13T16:26:36Z,Arrived,yes,both,198,41000,2023-10-13T14:52:59Z,2023-10-13T16:22:39Z
SU-BTU,2023-10-15,SU-BTU,KILG,Wilmington,DE,L 30.88718 30.31271,Amreya,,2023-10-15T12:10:25Z,2023-10-15T12:10:25Z,result unknown,yes,departure,833,45000,2023-10-15T12:10:25Z,2023-10-15T22:05:42Z
SU-BTV,2023-10-30,SU-BTV,LFPB,Paris,IDF,KDTW,Detroit,MI,2023-10-30T16:50:14Z,2023-10-31T01:05:02Z,Arrived,yes,arrival,485,43000,2023-10-30T16:50:14Z,2023-10-31T01:04:09Z
SU-BTV,2023-10-31,SU-BTV,KDTW,Detroit,MI,KSUS,St Louis,MO,2023-10-31T02:10:22Z,2023-10-31T03:31:24Z,Arrived,yes,both,182,43000,2023-10-31T02:10:22Z,2023-10-31T03:30:46Z
SU-BTV,2023-11-02,SU-BTV,KSUS,St Louis,MO,KILG,Wilmington,DE,2023-11-02T14:42:16Z,2023-11-02T16:15:58Z,Arrived,yes,both,207,41000,2023-11-02T14:42:16Z,2023-11-02T16:15:23Z
SU-BTV,2023-11-05,SU-BTV,KILG,Wilmington,DE,HEAZ,El Nozha,C,2023-11-05T15:07:29Z,2023-11-06T00:45:52Z,Arrived,yes,departure,778,41100,2023-11-05T15:07:29Z,2023-11-06T00:45:11Z
SU-BTU,2023-11-23,SU-BTU,LFPB,Paris,IDF,KDTW,Detroit,MI,2023-11-23T08:40:08Z,2023-11-23T16:49:11Z,Arrived,yes,arrival,634,43000,2023-11-23T08:40:08Z,2023-11-23T16:48:17Z
SU-BTU,2023-11-23,SU-BTU,KDTW,Detroit,MI,KICT,Wichita,KS,2023-11-23T18:19:03Z,2023-11-23T20:13:20Z,Arrived,yes,both,238,43000,2023-11-23T18:19:03Z,2023-11-23T20:12:43Z
SU-BTU,2023-11-27,SU-BTU,KICT,Wichita,KS,KILG,Wilmington,DE,2023-11-27T16:12:58Z,2023-11-27T18:10:46Z,Arrived,yes,both,246,41000,2023-11-27T16:12:58Z,2023-11-27T18:08:35Z
SU-BTU,2023-11-30,SU-BTU,KILG,Wilmington,DE,L 29.95784 31.28077,Cairo,,2023-11-30T13:03:53Z,2023-11-30T13:03:53Z,result unknown,yes,departure,809,43100,2023-11-30T13:03:53Z,2023-11-30T23:07:45Z
SU-BTT,2024-02-09,SU-BTT,LFPB,Paris,IDF,KOMA,Omaha,NE,2024-02-09T07:52:37Z,2024-02-09T16:58:04Z,Arrived,yes,arrival,725,43000,2024-02-09T07:52:37Z,2024-02-09T16:56:53Z
SU-BTT,2024-02-09,SU-BTT,KOMA,Omaha,NE,KLNK,Lincoln,NE,2024-02-09T18:16:16Z,2024-02-09T18:40:06Z,Arrived,yes,both,61,8100,2024-02-09T18:16:16Z,2024-02-09T18:39:12Z
